Etapa/Ano,Eixo,Código,Objeto de Conhecimento,Habilidade (BNCC),Explicação Pedagógica,Atividade Proposta
1º ao 5º Ano,Cultura Digital,EF15CO09,Uso ético e legal da tecnologia,"Entender que as tecnologias devem ser utilizadas de maneira segura, ética e responsável, respeitando direitos autorais, de imagem e as leis vigentes.",Consolidar a ética digital ao fim dos anos iniciais estabelece valores que guiarão o uso responsável da tecnologia ao longo de toda a vida.,"CONSTITUIÇÃO DIGITAL DA TURMA: Os estudantes criam colaborativamente um 'código de ética digital' da turma, baseado em todos os valores discutidos ao longo dos anos. Assinam e afixam na sala."
6º Ano,Pensamento Computacional,EF06CO01,Programação — Classificação e tipos de dados,"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um 'tipo de dados'.","Tipos de dados (inteiro, texto, booleano, real) determinam como a informação é armazenada e manipulada. Compreender esta distinção é pré-requisito para programação formal e banco de dados.","ZOOLÓGICO DE DADOS: A turma cria fichas de animais usando Python ou planilha. Identificam quais campos são números inteiros, texto, booleano e real. Classificam e discutem erros de tipo."
6º Ano,Pensamento Computacional,EF06CO02,Programação — Algoritmos com linguagem formal,"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.",Usar uma linguagem de programação formal transforma a lógica desenvolvida nos anos iniciais em artefatos computacionais reais. O estudante passa de consumidor a criador de software.,"CALCULADORA DE IMC: Em Python, os estudantes escrevem um programa que lê peso e altura, calcula o IMC e usa condicional para classificar. Testam com diferentes valores."
6º Ano,Pensamento Computacional,EF06CO03,Programação — Descrição precisa de soluções,"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",A passagem da descrição informal para o código formal exige precisão e pensamento sistemático. Esta habilidade desenvolve a capacidade de especificação — fundamental em engenharia de software.,DO PSEUDOCÓDIGO AO CÓDIGO: Os estudantes primeiro descrevem em português estruturado e depois traduzem para Python. Comparam versões e discutem a importância da precisão.
6º Ano,Pensamento Computacional,EF06CO04,Programação — Decomposição,Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,Decompor um problema em funções/módulos é a base do desenvolvimento de software profissional. Conecta pensamento computacional à engenharia de software de forma prática.,"JOGO MODULAR: Os estudantes desenvolvem um jogo simples em partes separadas (cenário, movimentação, colisão). Cada parte é uma função. No final, integram tudo."
6º Ano,Pensamento Computacional,EF06CO05,Programação — Identificação de entradas/saídas,"Identificar os recursos ou insumos necessários (entradas) para a resolução de problemas, bem como os resultados esperados (saídas), determinando os respectivos tipos de dados.","Pensar em termos de entrada-processo-saída é um modelo mental fundamental para programação, modelagem de sistemas e análise de problemas.","MODELAGEM E-P-S: Para diferentes problemas (conversor de temperatura, calculadora de troco), os estudantes modelam entradas, processo e saídas antes de escrever qualquer código."
6º Ano,Pensamento Computacional,EF06CO06,Programação — Generalização (parâmetros),"Comparar diferentes casos particulares (instâncias) de um mesmo problema, identificando semelhanças e diferenças, e criar um algoritmo para resolver todos, fazendo uso de variáveis (parâmetros).","Generalizar soluções usando parâmetros é a transição do código específico para o código reutilizável. Fundamental para escrever funções, bibliotecas e softwares escaláveis.",FUNÇÃO MULTIUSO: Os estudantes percebem que cálculos de área para diferentes formas têm estrutura similar. Criam uma função genérica com parâmetros e testam com diferentes valores.
6º Ano,Mundo Digital,EF06CO07,Armazenamento e transmissão de dados,"Entender o processo de transmissão de dados, como a informação é quebrada em pedaços, transmitida em pacotes através de múltiplos equipamentos, e reconstruída no destino.","Compreender o protocolo de transmissão de dados (pacotes, roteamento) desmistifica a internet e explica por que às vezes conexões falham.","SIMULAÇÃO DE PACOTES: A turma divide uma mensagem em 'pacotes' (cartões). Cada aluno é um roteador e encaminha pacotes por caminhos diferentes. No destino, remontam a mensagem."
6º Ano,Mundo Digital,EF06CO08,Gestão de dados — armazenamento e recuperação,"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.",Gerenciar arquivos eficientemente é uma habilidade prática essencial. Compreender metadados prepara para entender privacidade e rastreabilidade digital.,"ORGANIZANDO O ACERVO DIGITAL: A turma recebe uma pasta caótica com arquivos. Desenvolvem um sistema de organização, renomeiam arquivos com padrão consistente e criam pastas lógicas."
6º Ano,Cultura Digital,EF06CO09,Segurança — conduta digital,"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",Netiqueta e comunicação ética online são extensões dos valores de convivência para o mundo digital. As mesmas regras de respeito se aplicam online.,"ANÁLISE DE COMENTÁRIOS: Os estudantes analisam comentários reais (anonimizados) de redes sociais. Classificam como respeitosos ou desrespeitosos, propõem versões melhoradas e debatem consequências."
6º Ano,Cultura Digital,EF06CO10,Uso de tecnologias — sustentabilidade,"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente o caminho da produção dos recursos bem como aspectos ligados à obsolescência e à sustentabilidade.","O impacto ambiental da tecnologia (mineração, lixo eletrônico, consumo de energia) é urgente. Conectar computação à sustentabilidade forma cidadãos conscientes do ciclo de vida dos dispositivos.","CICLO DE VIDA DO CELULAR: Os estudantes mapeiam todo o trajeto de um smartphone (mineração, fabricação, uso, descarte). Pesquisam lixo eletrônico em Campina Grande/PB e propõem ações locais."
7º Ano,Pensamento Computacional,EF07CO01,Programação — Registros e matrizes,Criar soluções de problemas para os quais seja adequado o uso de registros e matrizes unidimensionais para descrever suas informações e automatizá-las usando uma linguagem de programação.,Registros e arrays unidimensionais são estruturas de dados fundamentais em qualquer linguagem de programação. Usá-los para resolver problemas reais consolida a capacidade de modelar dados computacionalmente.,"CADASTRO DE ALUNOS: Os estudantes criam um programa em Python que armazena nome, idade e nota de cada aluno em um registro, e usa uma lista para guardar todos. Implementam busca por nome e cálculo de média."
7º Ano,Pensamento Computacional,EF07CO02,Programação — Análise e depuração,"Analisar programas para detectar e remover erros, ampliando a confiança na sua correção.","Depurar código é uma das habilidades mais importantes de um programador. Identificar, localizar e corrigir erros forma um ciclo de melhoria contínua aplicável muito além da programação.","HOSPITAL DO CÓDIGO: A turma recebe programas com erros (bugs propositais) de três tipos: sintaxe, lógicos e de execução. Em duplas, diagnosticam e corrigem, documentando cada 'diagnóstico' e 'tratamento'."
7º Ano,Pensamento Computacional,EF07CO03,Programação — Projetos interdisciplinares,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas.",Aplicar computação em projetos interdisciplinares demonstra a transversalidade da área e desenvolve competências colaborativas.,"PROJETO GEOCOMPUTAÇÃO: Em parceria com Geografia, os estudantes coletam dados climáticos de Campina Grande, armazenam em listas e criam visualizações simples em Python."
7º Ano,Pensamento Computacional,EF07CO04,Programação — Propriedades de grafos,Explorar propriedades básicas de grafos.,"Grafos modelam conexões (redes sociais, mapas, internet). Compreender propriedades como grau, caminho e conexidade é base para algoritmos de busca e otimização.","MAPA DE TRANSPORTE: A turma cria um grafo representando um sistema de transporte de Campina Grande (estações = nós, rotas = arestas). Analisam: qual estação é mais central? Qual é o menor caminho?"
7º Ano,Pensamento Computacional,EF07CO05,Programação — Reúso e decomposição,Criar algoritmos fazendo uso da decomposição e do reúso no processo de solução de problemas de forma colaborativa e cooperativa e automatizá-los usando uma linguagem de programação.,Reúso de código e decomposição colaborativa são práticas profissionais de engenharia de software. Trabalhar em equipe com essas estratégias prepara para projetos reais.,BIBLIOTECA DA TURMA: Cada grupo desenvolve um conjunto de funções (biblioteca) para resolver um tipo de problema. As bibliotecas são compartilhadas e usadas por outros grupos.
7º Ano,Mundo Digital,EF07CO06,Protocolos de comunicação em redes,Compreender o papel de protocolos para a transmissão de dados.,"Protocolos (TCP/IP, HTTP, HTTPS) são as 'línguas' que permitem dispositivos de fabricantes diferentes se comunicarem. Fundamentais para compreender o funcionamento da internet.","PROTOCOLO HUMANO: A turma simula comunicação via protocolo. Dois grupos trocam mensagens seguindo regras rígidas (cabeçalho, verificação de erro, confirmação). Vivenciam o que acontece quando o protocolo não é seguido."
7º Ano,Mundo Digital,EF07CO07,Segurança cibernética — identificação e proteção,Identificar problemas de segurança cibernética e experimentar formas de proteção.,"Senhas fortes, autenticação de dois fatores, phishing e malware são ameaças reais que afetam jovens. Compreendê-las e saber como se proteger é competência digital urgente.",SIMULAÇÃO DE ATAQUE E DEFESA: Metade da turma tenta 'invadir' contas fictícias usando técnicas comuns. A outra metade defende aplicando boas práticas. Debrief sobre o que funcionou.
7º Ano,Cultura Digital,EF07CO08,Empatia e opiniões divergentes online,Demonstrar empatia sobre opiniões divergentes na web.,A polarização e o discurso de ódio online exigem cultivo da empatia e do diálogo respeitoso. Conecta computação com formação socioemocional e cidadania democrática.,CÂMARA DE ECOS: Os estudantes experimentam como algoritmos criam bolhas de informação. Depois simulam conversas com perspectivas diferentes e praticam escuta ativa e argumentação respeitosa.
7º Ano,Cultura Digital,EF07CO09,Cyberbullying,Reconhecer e debater sobre cyberbullying.,"O cyberbullying afeta diretamente a faixa etária dos anos finais. Reconhecê-lo, compreender seus impactos e saber como agir é parte fundamental da cidadania digital.","TEATRO-FÓRUM DIGITAL: Encenação de situações de cyberbullying. A turma intervém propondo diferentes respostas. Discutem o papel de vítima, agressor e espectador, e os canais de denúncia disponíveis."
7º Ano,Cultura Digital,EF07CO10,Impactos ambientais da tecnologia,"Identificar os impactos ambientais do descarte de peças de computadores e eletrônicos, bem como sua relação com a sustentabilidade.",O lixo eletrônico é o tipo de resíduo que mais cresce no mundo. Compreender a composição dos dispositivos e os circuitos de descarte responsável é educação ambiental aplicada à tecnologia.,"CAMPANHA DE COLETA: A turma pesquisa pontos de coleta de lixo eletrônico em Campina Grande, cria uma campanha de conscientização e organiza uma coleta na escola."
7º Ano,Cultura Digital,EF07CO11,"Produção digital — vídeos, podcasts, sites","Criar, documentar e publicar, de forma individual ou colaborativa, produtos (vídeos, podcasts, web sites) usando recursos de tecnologia.","Produzir e publicar conteúdo digital consolida múltiplas competências: comunicação, criatividade, técnica e responsabilidade. O estudante torna-se criador e não apenas consumidor.","WEBDOC DA CIDADE: Em grupos, produzem um mini-documentário sobre um aspecto cultural, histórico ou social de Campina Grande. Publicam no canal escolar do YouTube (privado) e apresentam."
8º Ano,Pensamento Computacional,EF08CO01,Programação — Recursão,Construir soluções de problemas usando a técnica de recursão e automatizar tais soluções usando uma linguagem de programação.,"Recursão — uma função que chama a si mesma — é um paradigma poderoso para resolver problemas com estrutura repetitiva (árvores, fractais, sequências). Aprofunda o raciocínio algorítmico.","FATORIAL E FIBONACCI: Os estudantes implementam funções recursivas em Python. Visualizam a pilha de chamadas com diagramas, entendendo o que acontece 'por dentro'."
8º Ano,Pensamento Computacional,EF08CO02,Programação — Listas com recursão,"Criar soluções de problemas para os quais seja adequado o uso de listas para descrever suas informações e automatizá-las usando uma linguagem de programação, empregando ou não a recursão.","Usar listas com recursão abre caminho para estruturas como listas encadeadas e árvores. Fundamental para algoritmos de busca, ordenação e processamento de dados.","ORDENAÇÃO: Os estudantes implementam o bubble sort em Python, depois comparam com sorted() embutido. Visualizam a eficiência com listas de tamanhos diferentes e discutem complexidade."
8º Ano,Pensamento Computacional,EF08CO03,Programação — Algoritmos clássicos sobre listas,Utilizar algoritmos clássicos de manipulação sobre listas.,"Algoritmos clássicos (busca linear, busca binária, ordenação) são pilares da ciência da computação. Compreender sua lógica e eficiência é fundamental para escolher a melhor solução para cada problema.","CORRIDA DE ALGORITMOS: A turma implementa busca linear e busca binária. Comparam número de comparações com listas de 10, 100 e 1000 elementos. Plotam um gráfico e discutem Big-O intuitivamente."
8º Ano,Pensamento Computacional,EF08CO04,Programação — Projetos avançados,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas.","Projetos interdisciplinares avançados integram múltiplos conceitos de computação com outras disciplinas, desenvolvendo competências de pesquisa, modelagem e comunicação científica.","ANÁLISE DE DADOS DA ESCOLA: Em parceria com Matemática, os estudantes coletam dados reais (frequência, notas), processam em Python com listas e geram estatísticas e gráficos para a direção."
8º Ano,Mundo Digital,EF08CO05,Sistemas distribuídos — paralelismo,"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos.","Computação distribuída e paralela é o paradigma dominante na computação moderna (nuvem, clusters, GPUs). Contextualiza desde aplicativos simples até sistemas de inteligência artificial.","COZINHA PARALELA: A turma simula um restaurante onde cada cozinheiro (processador) prepara um prato simultaneamente. Identificam gargalos, recursos compartilhados e sincronização."
8º Ano,Mundo Digital,EF08CO06,Internet — estrutura e funcionamento,Entender como é a estrutura e funcionamento da internet.,A internet não é centralizada — é uma rede distribuída de redes. Compreender sua estrutura física e lógica desmistifica um dos maiores inventos da humanidade.,"MAPEANDO A INTERNET: Usando traceroute, os estudantes rastreiam o caminho de seus dados até diferentes servidores. Mapeiam os saltos e discutem onde estão os servidores."
8º Ano,Cultura Digital,EF08CO07,Redes sociais — segurança e ética,"Compartilhar informações por meio de redes sociais, compreendendo a sua dinâmica de funcionamento, de forma responsável e avaliando sua confiabilidade, considerando o respeito e a ética.",Redes sociais são espaços de exercício da cidadania digital. Compreender como algoritmos de recomendação funcionam e como a desinformação se propaga é essencial.,"DISSECANDO UMA REDE SOCIAL: A turma analisa o feed de uma rede social, documenta os tipos de conteúdo recomendados e discute: por que cada conteúdo aparece? Como o algoritmo aprende nossas preferências?"
8º Ano,Cultura Digital,EF08CO08,Tipos de dados pessoais em espaços digitais,Distinguir os tipos de dados pessoais que são solicitados em espaços digitais e os riscos associados.,"Dados pessoais têm diferentes níveis de sensibilidade e riscos. Saber identificá-los e protegê-los é a base da privacidade digital, direito garantido pela LGPD.","AUDITORIA DE PRIVACIDADE: Os estudantes analisam os termos de uso e permissões de 3 aplicativos que usam. Identificam quais dados são coletados, para que fins e se concordam. Produzem relatório crítico."
8º Ano,Cultura Digital,EF08CO09,Políticas de uso de plataformas digitais,Analisar criticamente as políticas de termos de uso das redes sociais e demais plataformas.,"Termos de uso são contratos que usuários aceitam sem ler. Analisá-los criticamente revela questões de privacidade, monetização de dados e responsabilidade das plataformas.","TERMOS DE USO TRADUZIDOS: Em grupos, os estudantes selecionam trechos dos termos de uso do Instagram e WhatsApp, traduzem para linguagem acessível e identificam cláusulas preocupantes."
8º Ano,Cultura Digital,EF08CO10,Segurança em ambientes virtuais,Discutir questões sobre segurança e privacidade relacionadas ao uso dos ambientes virtuais.,"Ambientes virtuais (games online, metaverso, fóruns) apresentam riscos específicos. Discuti-los prepara os adolescentes para navegar com mais consciência.","CAÇADA AO RASTRO DIGITAL: Usando ferramentas de privacidade, os estudantes comparam quais dados são coletados com e sem proteção. Debatem o que significa 'privacidade' na era digital."
8º Ano,Cultura Digital,EF08CO11,Avaliação crítica de fontes eletrônicas,"Avaliar a precisão, relevância, adequação, abrangência e vieses que ocorrem em fontes de informação eletrônica.","Avaliar fontes de informação com critérios sistemáticos é a pedra angular do letramento midiático. Protege contra desinformação, teoria de conspiração e manipulação de opinião.","FRAMEWORK SIFT: A turma aprende o método SIFT (Stop, Investigate, Find better coverage, Trace claims). Aplicam para analisar 5 notícias circulantes, classificando confiabilidade e identificando vieses."
9º Ano,Pensamento Computacional,EF09CO01,Programação — Grafos e árvores,Criar soluções de problemas para os quais seja adequado o uso de árvores e grafos para descrever suas informações e automatizá-las usando uma linguagem de programação.,Árvores e grafos são estruturas avançadas que modelam desde hierarquias organizacionais até redes neurais artificiais. Implementá-las em código conecta teoria e prática em nível pré-universitário.,"ÁRVORE GENEALÓGICA: Os estudantes modelam uma árvore genealógica usando nós em Python. Implementam funções para navegar (pai, filhos, ancestrais) e buscam o 'ancestral comum mais próximo'."
9º Ano,Pensamento Computacional,EF09CO02,Programação — Projetos avançados interdisciplinares,"Construir soluções computacionais de problemas de diferentes áreas do conhecimento, de forma individual e colaborativa, selecionando as estruturas de dados e técnicas adequadas.",Projetos avançados interdisciplinares preparam para o pensamento sistêmico necessário na universidade e no mercado de trabalho do século XXI.,"HACKATHON INTERDISCIPLINAR: Em equipes, os estudantes desenvolvem soluções para problemas reais de Campina Grande (mobilidade, saúde, educação) usando computação. Apresentam para convidados externos."
9º Ano,Pensamento Computacional,EF09CO03,Programação — Autômatos e linguagens baseadas em eventos,Usar autômatos para descrever comportamentos de forma abstrata e automatizando-os através de uma linguagem de programação baseada em eventos.,"Autômatos finitos são modelos matemáticos de comportamento sequencial — base para analisadores léxicos, protocolos de rede e interfaces de usuário.","SEMÁFORO INTELIGENTE: Os estudantes modelam um semáforo como autômato finito (estados: verde, amarelo, vermelho; transições: tempo, sensor). Implementam em Python e simulam variações."
9º Ano,Mundo Digital,EF09CO04,Segurança cibernética — malwares,Compreender o funcionamento de malwares e outros ataques cibernéticos.,"Vírus, ransomware, phishing e ataques de negação de serviço são ameaças reais. Compreender como funcionam é o primeiro passo para se proteger.","MUSEU DOS MALWARES: Cada grupo pesquisa um tipo de malware famoso (WannaCry, Stuxnet, etc.), analisa como funcionava e como foi combatido. Criam infográficos e apresentam como 'especialistas em segurança'."
9º Ano,Mundo Digital,EF09CO05,Segurança cibernética — criptografia,Analisar técnicas de criptografia para armazenamento e transmissão de dados.,"Criptografia protege desde mensagens pessoais até transações bancárias. Compreender os princípios de chave simétrica, assimétrica e hash desenvolve intuição para avaliar a segurança de sistemas digitais.","QUEBRANDO E PROTEGENDO MENSAGENS: Os estudantes experimentam cifras históricas (César, Vigenère) e as comparam com AES moderno. Implementam uma cifra simples em Python e discutem por que cifras antigas são inseguras."
9º Ano,Cultura Digital,EF09CO06,Tecnologia e problemas sociais — cidade digital,"Analisar problemas sociais de sua cidade e estado a partir de ambientes digitais, propondo soluções.","Usar dados e ambientes digitais para analisar e propor soluções para problemas locais é a convergência de computação, cidadania e pensamento crítico.",APP PARA CAMPINA GRANDE: Os estudantes mapeiam um problema real da cidade usando dados abertos. Prototipam um aplicativo ou serviço digital como solução. Apresentam à Câmara Municipal (ou simulam).
9º Ano,Cultura Digital,EF09CO07,Implicações políticas e socioambientais das tecnologias,"Avaliar aplicações e implicações políticas, socioambientais e culturais das tecnologias digitais para propor alternativas aos desafios do mundo contemporâneo, incluindo aqueles relativos ao mundo do trabalho.","IA, automação e vigilância digital têm implicações políticas e sociais profundas. Avaliar essas implicações criticamente é exercício de cidadania ativa e pensamento complexo.","DEBATE SOBRE IA E TRABALHO: Com base em pesquisa prévia, a turma debate posições sobre automação. Discutem renda básica universal, requalificação e regulação de IA. Produzem manifesto coletivo."
9º Ano,Cultura Digital,EF09CO08,Distribuição desigual de recursos computacionais,"Discutir como a distribuição desigual de recursos de computação em uma economia global levanta questões de equidade, acesso e poder.",A desigualdade digital é extensão das desigualdades socioeconômicas. Discutir quem tem acesso à computação de ponta conecta a educação tecnológica à justiça social.,"MAPA DA DESIGUALDADE DIGITAL: Usando dados do IBGE e relatórios internacionais, os estudantes mapeiam o acesso à internet no Brasil por região, renda e raça. Comparam com outros países e discutem políticas de inclusão."
9º Ano,Cultura Digital,EF09CO09,Autoria em meio digital — ética,"Criar ou utilizar conteúdo em meio digital, compreendendo questões éticas relacionadas a direitos autorais e de uso de imagem.","Na era dos deepfakes e da IA generativa, compreender autoria, consentimento e direitos de imagem é urgente. Protege e capacita os estudantes como criadores e consumidores de conteúdo digital.",CRIAÇÃO RESPONSÁVEL COM IA: Os estudantes usam ferramentas de IA generativa para criar conteúdo. Discutem: quem é o autor? Como citar? Criam um guia ético de uso de IA na escola.
9º Ano,Cultura Digital,EF09CO10,Qualidade da informação — avaliação multidimensional,"Avaliar a veracidade, credibilidade e relevância da informação em seus diferentes formatos, sendo capaz de identificar o propósito pelo qual foi disseminada.",Avaliar informação de forma multidimensional é a competência mais crítica para a participação democrática na era digital. Vai além de detectar fake news — é pensar sobre epistemologia.,"LABORATÓRIO DE MÍDIA: Os estudantes analisam o mesmo evento a partir de 5 fontes diferentes (jornal, portal, rede social, YouTube, podcast). Comparam como cada formato molda a percepção do fato."
6º ao 9º Ano,Pensamento Computacional,EF69CO01,Classificação e tipos de dados (consolidado),"Classificar informações, agrupando-as em coleções (conjuntos) e associando cada coleção a um 'tipo de dado'.",A consolidação de tipos de dados prepara o estudante para linguagens fortemente tipadas e para a modelagem de bancos de dados — competências fundamentais para carreiras em tecnologia.,"MODELAGEM DE BANCO DE DADOS: Os estudantes projetam um banco de dados para a biblioteca escolar, definindo tabelas, campos e tipos. Implementam em SQLite e fazem consultas básicas."
6º ao 9º Ano,Pensamento Computacional,EF69CO02,Algoritmos completos com linguagem formal (consolidado),"Elaborar algoritmos que envolvam instruções sequenciais, de repetição e de seleção usando uma linguagem de programação.","A consolidação do domínio de estruturas de controle posiciona o estudante para o Ensino Médio com base sólida em programação, independentemente da linguagem específica.","PORTFÓLIO DE ALGORITMOS: Cada estudante compila os melhores programas dos anos finais, documenta, refatora e apresenta como portfólio para avaliação e compartilhamento."
6º ao 9º Ano,Pensamento Computacional,EF69CO03,Descrição precisa de soluções (consolidado),"Descrever com precisão a solução de um problema, construindo o programa que implementa a solução descrita.",A precisão na especificação reforça que a etapa de análise e design é tão importante quanto a codificação.,"ESPECIFICAÇÃO TÉCNICA: Os estudantes escolhem um problema real e produzem especificação completa (requisitos, pseudocódigo, testes) antes de codificar. Revisam especificações uns dos outros."
6º ao 9º Ano,Pensamento Computacional,EF69CO04,Decomposição para solução e automação (consolidado),Construir soluções de problemas usando a técnica de decomposição e automatizar tais soluções usando uma linguagem de programação.,A decomposição sistemática distingue programadores iniciantes de profissionais. Consolidá-la ao fim dos anos finais é um marco formativo crucial.,SISTEMA INTEGRADO: Os estudantes desenvolvem um sistema maior (gerenciador de eventos escolar) dividido em módulos. Cada grupo desenvolve um módulo e a turma integra ao final.
6º ao 9º Ano,Pensamento Computacional,EF69CO05,Identificação de entradas e saídas (consolidado),"Identificar os recursos ou insumos necessários para a resolução de problemas, bem como os resultados esperados.","Pensar sistematicamente em entradas, processo e saídas é um modelo mental transferível para análise de sistemas de qualquer natureza.","ANÁLISE DE SISTEMAS REAIS: Os estudantes analisam sistemas reais da cidade (semáforos, app de transporte) identificando entradas, processamento e saídas. Propõem melhorias documentadas."
6º ao 9º Ano,Pensamento Computacional,EF69CO06,Generalização — parâmetros e variáveis (consolidado),"Comparar diferentes casos particulares de um mesmo problema e criar um algoritmo para resolver todos, fazendo uso de variáveis.",Escrever código que funcione para qualquer caso é a essência da abstração computacional e o que torna o software reutilizável e escalável.,API DA TURMA: Os estudantes criam funções genéricas (uma 'API' interna) que outros grupos podem usar. Documentam as funções com exemplos de uso e testam com casos de borda.
6º ao 9º Ano,Mundo Digital,EF69CO07,Armazenamento e transmissão de dados (consolidado),Entender o processo de transmissão de dados.,"A consolidação integra conceitos de protocolos, criptografia e segurança, completando a compreensão da infraestrutura sobre a qual toda a vida digital acontece.","PROJETO DE REDE SEGURA: Os estudantes projetam uma rede escolar segura fictícia, especificando protocolos, criptografia, firewall e políticas de acesso. Apresentam como consultores de TI."
6º ao 9º Ano,Mundo Digital,EF69CO08,Gestão de dados avançada (consolidado),"Compreender e utilizar diferentes formas de armazenar, manipular, compactar e recuperar arquivos, documentos e metadados.","A gestão eficiente de dados digitais é competência profissional e pessoal. Consolidar inclui compreender bancos de dados, backup e metadados.","SISTEMA DE GERENCIAMENTO: Os estudantes criam scripts Python para organizar arquivos automaticamente por tipo, data e tamanho."
6º ao 9º Ano,Mundo Digital,EF69CO09,Sistemas distribuídos (consolidado),"Compreender os conceitos de paralelismo, concorrência e armazenamento/processamento distribuídos.","Consolidar computação distribuída posiciona o estudante para compreender tecnologias emergentes como blockchain, computação em nuvem e IA distribuída.",SIMULADOR DE NUVEM: Os estudantes simulam um sistema de computação em nuvem usando múltiplos computadores conectados em rede. Distribuem tarefas e analisam ganhos de desempenho.
6º ao 9º Ano,Mundo Digital,EF69CO10,Internet — estrutura e funcionamento (consolidado),Entender como é a estrutura e funcionamento da internet.,A compreensão consolidada da internet — desde a infraestrutura física até os protocolos de aplicação — completa o letramento sobre o ambiente digital em que vivemos.,"APRESENTAÇÃO TÉCNICA: Cada grupo apresenta uma camada do modelo OSI com demonstração prática, formando juntos uma explicação completa da internet."
6º ao 9º Ano,Cultura Digital,EF69CO11,Conduta e linguagem digital (consolidado),"Apresentar conduta e linguagem apropriadas ao se comunicar em ambiente digital, considerando a ética e o respeito.",Consolidar a ética digital garante que o estudante chegue ao Ensino Médio e à vida adulta com valores sólidos de cidadania digital.,MANIFESTO DIGITAL: A turma produz um manifesto de ética digital para toda a escola. Apresenta e propõe que seja adotado como código de conduta institucional.
6º ao 9º Ano,Cultura Digital,EF69CO12,Sustentabilidade e tecnologia (consolidado),"Analisar o consumo de tecnologia na sociedade, compreendendo criticamente aspectos ligados à obsolescência e à sustentabilidade.",Consolidar a visão crítica sobre o ciclo de vida da tecnologia forma consumidores conscientes e futuros profissionais comprometidos com o desenvolvimento sustentável.,"PROJETO DE ECONOMIA CIRCULAR: Os estudantes desenvolvem um plano de economia circular para tecnologia na escola (reparo, reúso, reciclagem). Calculam impacto ambiental e apresentam à gestão."
